,ID,Language,IdPredecessor,PersonNumber,PersonIdCode,Active,FirstName,LastName,GenderAsString,Canton,CantonName,CantonAbbreviation,Council,CouncilName,CouncilAbbreviation,ParlGroupNumber,ParlGroupName,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,Party,PartyName,PartyAbbreviation,MilitaryRank,MilitaryRankText,MaritalStatus,MaritalStatusText,Nationality,BirthPlace_City,BirthPlace_Canton,Mandates,AdditionalMandate,AdditionalActivity,OfficialName,DateJoining,DateLeaving,DateElection,DateOath,DateResignation,Modified,NumberOfChildren,Citizenship,DateOfBirth,DateOfDeath
10,14,FR,,14,2264,false,Duri,Bezzola,m,18,Grisons,GR,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,14,Colonel,,,Suisse,Scuol,,Gemeinderat von Scuol 1983 bis 1990,,,Bezzola Duri,2003-12-01T00:00:00,2007-03-04T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-03-04T00:00:00,2018-10-05T13:29:04.63,,"Scuol (GR),Zernez (GR)",1942-06-23T00:00:00,
11,15,FR,,15,2270,false,Max,Binder,m,1,Zurich,ZH,1,Conseil national,CN,4,Groupe de l'Union démocratique du Centre,V,1,Membre,13,Union Démocratique du Centre,UDC,35,--,,,Suisse,Illnau-Effretikon,,Legislative der Gemeinde (Grosser Gemeinderat): von 1985 bis 1990; Exekutive der Gemeinde: Stadtrat (Vizepräsident): seit 1990; Legislative des Kantons (Kantonsrat): von 1991 bis 1992,,"Präsident der Parlamentarischen Gruppe Luft- und Raumfahrt; Präsident der Parlamentarischen Gruppe Volkskultur und Volksmusik; Präsident der Parlamentarischen Gruppe Wald und Holz; Ehrenmitglied Stadtmusik Illnau-Effretikon; Ehrenmitglied Schweizer Tabakpflanzer SwissTabac, Ehrenmitglied Verein Theater Illnau; Ehrenmitglied ehemaliger Schüler der landwirtschaftlichen Schule Wülflingen",Binder,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,2018-10-05T13:29:51.533,,Illnau-Effretikon (ZH),1947-11-26T00:00:00,
12,16,FR,,16,2260,false,Peter,Bircher,m,19,Argovie,AG,1,Conseil national,CN,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,1,Soldat,,,,Wölflinswil,,Grosser Rat AG von 1973 bis 1990 Präsident Regionalplanung oberes Fricktal,,Präsident Aarg. Verein für Suchtprobleme,Bircher Peter,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T13:30:00.457,,Wölflinswil (AG),1939-06-01T00:00:00,
13,17,FR,,17,2015,false,Silvio,Bircher,m,19,Argovie,AG,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,,,,,,,Bircher Silvio,1979-11-26T00:00:00,1993-05-30T00:00:00,1979-11-26T00:00:00,1979-11-26T00:00:00,1993-05-31T00:00:00,2015-05-17T21:18:19.387,,"Küttigen (AG),Aarau (AG)",1945-09-25T00:00:00,
14,18,FR,,18,2271,false,Hardi,Bischof,m,1,Zurich,ZH,1,Conseil national,CN,9,Groupe des Démocrates suisses et de la Ligue des Tessinois,D,1,Membre,19,Démocrates Suisses,DS,,,,,,,,,,,Bischof Hardi,1991-11-25T00:00:00,1995-12-03T00:00:00,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,Eggersriet (SG),1957-07-30T00:00:00,
15,19,FR,,19,2336,false,Hans,Bisig,m,5,Schwyz,SZ,2,Conseil des Etats,CE,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,10,Premier-lieutenant,,,Suisse,Lachen,,"Kantonsrat von 1972 bis 1984, Präsident LUP (FDP) von 1984 bis 1991","1976 bis 1979 Chef LUP - Fraktion Kantonsra, 1988 bis 1992 Bankrat KB Schwyz",,Bisig,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T13:30:11.013,,Einsiedeln (SZ),1942-04-27T00:00:00,
16,20,FR,,20,2016,false,Ulrich,Blatter,m,6,Obwald,OW,1,Conseil national,CN,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,,,,,,,,,,,Blatter,1987-11-30T00:00:00,1995-04-20T00:00:00,1987-11-30T00:00:00,1987-11-30T00:00:00,1995-04-20T00:00:00,2015-05-17T21:18:19.387,,Hofstetten b. Brienz (BE),1940-12-29T00:00:00,1995-04-20T00:00:00
17,21,FR,,21,2017,false,Christoph,Blocher,m,1,Zurich,ZH,1,Conseil national,CN,4,Groupe de l'Union démocratique du Centre,V,1,Membre,13,Union Démocratique du Centre,UDC,14,Colonel,,,Suisse,Laufen am Rheinfall,,"Gemeinderat Meilen: von März 1974 bis März 1978; Kantonsrat: von April 1975 bis April 1980; Nationalrat: von November 1979 bis Dezember 2003; Bundesrat: von Dezember 2003 bis Dezember 2007, Vorsteher des Eidg. Justiz- und Polizeidepartementes",Präsident der SVP Kanton Zürich: von Februar 1977 bis Dezember 2003; Vizepräsident der SVP Schweiz: seit März 2008,,Blocher,2011-12-05T00:00:00,2014-05-31T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-05-31T00:00:00,2018-10-05T13:30:34.6,,"Schattenhalb (BE),Zurich (ZH),Meilen (ZH),Lü (GR)",1940-10-11T00:00:00,
18,22,FR,,22,2337,false,Peter,Bloetzer,m,23,Valais,VS,2,Conseil des Etats,CE,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,,,,14,Colonel,,,Suisse,Brigue,,"Gemeinderat in Visp seit 1969, Gemeindepräsident in Visp seit 1977, Grossrat seit 1977",,,Bloetzer,1995-12-04T00:00:00,1999-12-05T00:00:00,1991-11-25T00:00:00,1991-11-25T00:00:00,1999-12-05T00:00:00,2018-10-23T10:29:51.85,,"Ferden (VS),Wiler (Lötschen) (VS),Viège (VS)",1933-09-16T00:00:00,2018-10-11T00:00:00
19,23,FR,,23,2018,false,Peter,Bodenmann,m,23,Valais,VS,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,,,,,,,Bodenmann Peter,1995-12-04T00:00:00,1997-06-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1997-06-05T00:00:00,2015-05-17T21:18:19.387,,Lax (VS),1952-03-30T00:00:00,
20,24,FR,,24,2019,false,Jean-Pierre,Bonny,m,2,Berne,BE,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,Suisse,Berne,,"Stadtrat von Bern vom 01.01.1960 bis 31.12.1961, Gemeinderat von Bremgarten vom 01.01.1968 bis 31.12.1975, Grosser Rat von Bern vom Mai 1970 bis Mai 1974",,,Bonny,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T13:31:32.16,,Chevroux (VD),1931-06-20T00:00:00,
21,25,FR,,25,2021,false,François,Borel,m,24,Neuchâtel,NE,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,,Neuchâtel,,Grand Conseil de 1973 à 1984,,,Borel François,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T13:31:43.027,,"Neuchâtel (NE),Couvet (NE)",1948-12-01T00:00:00,
22,26,FR,,26,2272,false,Roland F.,Borer,m,11,Soleure,SO,1,Conseil national,CN,4,Groupe de l'Union démocratique du Centre,V,1,Membre,13,Union Démocratique du Centre,UDC,12,Major,,,Suisse,Soleure,,Legislative des Kantons: von 1989 bis 1991,,,Borer,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,2015-05-17T21:18:19.387,,Le Petit Lucelle (SO),1951-01-27T00:00:00,
23,27,FR,,27,2273,false,Marco,Borradori,m,27,Tessin,TI,1,Conseil national,CN,9,Groupe des Démocrates suisses et de la Ligue des Tessinois,D,1,Membre,23,Lega dei Ticinesi,Lega,,,,,,,,,,,Borradori,1991-11-25T00:00:00,1995-04-11T00:00:00,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-04-11T00:00:00,2021-08-16T10:29:12.8,,Gordola (TI),1959-06-06T00:00:00,2021-08-11T00:00:00
24,28,FR,,28,2274,false,Toni,Bortoluzzi,m,1,Zurich,ZH,1,Conseil national,CN,4,Groupe de l'Union démocratique du Centre,V,1,Membre,13,Union Démocratique du Centre,UDC,,,,,Suisse,Affoltern am Albis,,Exekutive der Gemeinde (Gemeinderat): von 1982 bis 1986; Gemeindepräsident: von 1986 bis 1998; Legislative des Kantons (Kantonsrat): von 1984 bis 1991,,Co-Präsident der Parlamentarischen Gruppe für Behindertenfragen; Co-Präsident der Parlamentarischen Gruppe für Altersfragen,Bortoluzzi,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,2018-10-05T13:31:57.463,,Affoltern am Albis (ZH),1947-02-16T00:00:00,
25,29,FR,,29,2025,false,Cyrill,Brügger,m,10,Fribourg,FR,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,,,,,,,Brügger Cyrill,1987-09-21T00:00:00,1995-12-03T00:00:00,1987-09-21T00:00:00,1987-09-21T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,Saint-Antoine (FR),1938-07-10T00:00:00,
26,30,FR,,30,2275,false,Christiane,Brunner,f,25,Genève,GE,2,Conseil des Etats,CE,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,Suisse,Genève 8,,Législatif cantonal de 1981 à 1990,Présidente du Parti socialiste suisse: octobre 2000 - 6 mars 2004,,Brunner Christiane,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,2018-10-05T13:35:40.507,,Egg (ZH),1947-03-23T00:00:00,
27,31,FR,,31,2250,false,Robert,Bühler,m,3,Lucerne,LU,2,Conseil des Etats,CE,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,,,,,,,Bühler Robert,1989-06-19T00:00:00,1995-12-03T00:00:00,1989-06-19T00:00:00,1989-06-19T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,"Lucerne (LU),Grosswangen (LU)",1928-09-21T00:00:00,
28,32,FR,,32,2026,false,Simeon,Bühler,m,18,Grisons,GR,1,Conseil national,CN,4,Groupe de l'Union démocratique du Centre,V,1,Membre,13,Union Démocratique du Centre,UDC,,,,,,,,,,,Bühler Simeon,1980-03-03T00:00:00,1994-12-31T00:00:00,1980-03-03T00:00:00,1980-03-03T00:00:00,1994-12-31T00:00:00,2015-05-17T21:18:19.387,,Tschappina (GR),1942-03-10T00:00:00,
29,33,FR,,33,2276,false,Cécile,Bühlmann,f,3,Lucerne,LU,1,Conseil national,CN,6,Groupe des VERT-E-S,G,1,Membre,20,Les VERT-E-S suisses,VERT-E-S,,,,,Suisse,Sempach,,Grosser Stadtrat Luzern von Juni 1991 bis November 1991,,,Bühlmann Cécile,2005-11-19T00:00:00,2006-03-04T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-03-05T00:00:00,2015-05-17T21:18:19.387,,Sempach (LU),1949-12-03T00:00:00,
30,34,FR,,34,2277,false,Gerold,Bührer,m,14,Schaffhouse,SH,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,11,Capitaine,,,Suisse,Hofen,,Grosser Rat des Kantons SH von 1982 bis 1991,Präsident der FDP Schweiz vom April 2001 bis November 2002,,Bührer Gerold,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,2018-10-05T13:36:21.187,,"Bibern (SH),Hofen (SH)",1948-06-23T00:00:00,
31,35,FR,,35,2027,false,Martin,Bundi,m,18,Grisons,GR,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,,,,,,,Bundi,1975-12-01T00:00:00,1995-12-03T00:00:00,1975-12-01T00:00:00,1975-12-01T00:00:00,1995-12-03T00:00:00,2020-01-07T08:58:49.977,,Sagogn (GR),1932-10-19T00:00:00,2020-01-01T00:00:00
32,36,FR,,36,2029,false,Jakob,Bürgi,m,5,Schwyz,SZ,1,Conseil national,CN,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,,,,,,,,,,,Bürgi Jakob,1987-11-30T00:00:00,1995-12-03T00:00:00,1987-11-30T00:00:00,1987-11-30T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,Feusisberg (SZ),1934-09-06T00:00:00,
33,37,FR,,37,2030,false,Rolf,Büttiker,m,11,Soleure,SO,2,Conseil des Etats,CE,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,Suisse,Wolfwil,,Exekutive der Gemeinde: Gemeinderat Wolfwil von 1977 bis 2001; Gemeindepräsident Wolfwil von 1985 bis 2001; Legislative des Kantons: Verfassungsrat Kanton Solothurn von 1981 bis 1987,Präsident der FDP des Kantons Solothurn von 1990 bis 1999,,Büttiker,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,2018-10-05T13:38:58.61,,Wolfwil (SO),1950-06-27T00:00:00,
34,38,FR,,38,2031,false,Fulvio,Caccia,m,27,Tessin,TI,1,Conseil national,CN,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,,,,,Suisse,Cadenazzo,,"Législatif communal dal 1964 al 1970
Exécutif communal dal 1964 al 1977
Exécutif cantonal Consigliere di Stato dal 1977 al 1987",Presidente comm. Fed. Energia 1979 al 1988,,Caccia,1995-12-04T00:00:00,1998-11-28T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1998-11-28T00:00:00,2018-10-05T13:39:06.85,,Cadenazzo (TI),1942-01-03T00:00:00,
35,39,FR,,39,2032,false,Werner,Carobbio,m,27,Tessin,TI,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,Suisse,Mendrisio,,"Comune di Pregassona dal 1971 al 1986, Gran Consiglio Canton Ticino dal 1975 al 1988",Vedi registro interessi,"Alcune pubblicazioni in economia, lezioni e corsi in scuole diverse e università",Carobbio,1995-12-04T00:00:00,1999-12-05T00:00:00,1975-12-01T00:00:00,1975-12-01T00:00:00,1999-12-05T00:00:00,2018-10-05T13:39:56.863,,Mendrisio (TI),1936-11-10T00:00:00,
36,40,FR,,40,2279,false,Elisabeth,Caspar-Hutter,f,17,St-Gall,SG,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,,,,,,,Caspar-Hutter,1991-11-25T00:00:00,1995-12-03T00:00:00,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,Schmitten (GR),1949-12-03T00:00:00,
37,41,FR,,41,2204,false,Jean,Cavadini,m,24,Neuchâtel,NE,2,Conseil des Etats,CE,7,Groupe libéral,L,1,Membre,,,,3,Caporal,,,Suisse,Neuchâtel,,"Exécutif communal Neuchâtel, Législatif cantonal Neuchâtel, Exécutif cantonal Nechâtel",,"Président de l'Association Suisse de l'Industrie gazière, Président de la convention patronale de l'horlogerie",Cavadini Jean,1995-12-04T00:00:00,1999-12-05T00:00:00,1987-11-30T00:00:00,1987-11-30T00:00:00,1999-12-05T00:00:00,2015-05-17T21:18:19.387,,"Chiasso (TI),Noiraigue (NE)",1936-07-27T00:00:00,2013-01-09T00:00:00
38,42,FR,,42,2033,false,Adriano,Cavadini,m,27,Tessin,TI,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,,Sorengo,,"Cumune di Pregassona del 1971 al 1986, Gran Consiglio Canton Ticino del 1975 al 1988",vedi registro interessi,,Cavadini Adriano,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T13:40:23.99,,Mendrisio (TI),1942-06-27T00:00:00,
39,43,FR,,43,2205,false,Luregn Mathias,Cavelty,m,18,Grisons,GR,2,Conseil des Etats,CE,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,,,,,,,,,,,Cavelty,1979-06-20T00:00:00,1994-12-16T00:00:00,1979-06-10T00:00:00,1979-06-20T00:00:00,1994-12-16T00:00:00,2015-05-17T21:18:19.387,,Schluein (GR),1935-04-01T00:00:00,
40,44,FR,,44,2280,false,Olivier,Chevallaz,m,22,Vaud,VD,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,,,,,,,Chevallaz Olivier,1991-11-25T00:00:00,1995-06-16T00:00:00,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-06-16T00:00:00,2015-05-17T21:18:19.387,,Montherod (VD),1946-05-12T00:00:00,
41,45,FR,,45,2035,false,Ernst,Cincera,m,1,Zurich,ZH,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,,,,,,,Cincera,1983-11-28T00:00:00,1995-12-03T00:00:00,1983-10-23T00:00:00,1983-11-28T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,Zurich (ZH),1928-05-14T00:00:00,2004-10-30T00:00:00
42,46,FR,,46,2036,false,Dumeni,Columberg,m,18,Grisons,GR,1,Conseil national,CN,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,,,,,Suisse,Ilanz,,"Gemeinde-Legislative von 1969 bis 1971, Gemeindepräsident von 1971 bis 1987, Grossrat von 1971 bis 1983",,,Columberg,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T15:49:48.7,,Disentis/Mustér (GR),1941-10-07T00:00:00,
43,47,FR,,47,2281,false,Bernard,Comby,m,23,Valais,VS,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,1,Soldat,,,Suisse,Saxon,,"Exécutif communal Saxon de 1973 à 1979, Grand Conseil du Valais de 1973 à 1979, Conseil d'Etat du Valais de 1979 à 1992",,,Comby,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T15:49:57.443,,Vollèges (VS),1939-02-20T00:00:00,
44,48,FR,,48,2037,false,Gianfranco,Cotti,m,27,Tessin,TI,1,Conseil national,CN,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,,,,,,,,,,,Cotti Gianfranco,1979-11-26T00:00:00,1993-10-08T00:00:00,1979-11-26T00:00:00,1979-11-26T00:00:00,1993-10-08T00:00:00,2020-04-02T12:47:15.863,,Prato-Sornico (TI),1929-11-03T00:00:00,2020-03-31T00:00:00
45,49,FR,,49,2206,false,Anton,Cottier,m,10,Fribourg,FR,2,Conseil des Etats,CE,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,14,Parti démocrate-chrétien suisse,PDC,11,Capitaine,,,Suisse,Bellegarde,,"1982 à 1991 Conseil communal de Fribourg, 1976 à 1987 Député Grand Conseil fribourgeois,",,,Cottier Anton,1995-12-04T00:00:00,2003-11-30T00:00:00,1987-11-30T00:00:00,1987-11-30T00:00:00,2003-11-30T00:00:00,2018-10-05T15:50:38.827,,Bellegarde (FR),1943-12-04T00:00:00,2006-11-03T00:00:00
46,50,FR,,50,2038,false,Pascal,Couchepin,m,23,Valais,VS,99,Conseil fédéral,CF,,,,,,15,PLR.Les Libéraux-Radicaux,PLR,11,Capitaine,,,Suisse,Martigny,,Exécutif communal Président,,,Couchepin Pascal,2009-01-01T00:00:00,2009-10-31T00:00:00,1998-03-11T00:00:00,2009-01-01T00:00:00,2009-10-31T00:00:00,2018-10-05T15:50:47.18,,Martigny (VS),1942-04-05T00:00:00,
47,51,FR,,51,2039,false,Gilbert,Coutau,m,25,Genève,GE,2,Conseil des Etats,CE,7,Groupe libéral,L,1,Membre,16,Parti libéral démocrate,PLD,,,,,,,,,,,Coutau,1991-11-25T00:00:00,1995-12-03T00:00:00,1991-11-25T00:00:00,1991-11-25T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,Genève (GE),1936-03-11T00:00:00,
48,52,FR,,52,2247,false,Susanna,Daepp-Heiniger,f,2,Berne,BE,1,Conseil national,CN,4,Groupe de l'Union démocratique du Centre,V,1,Membre,13,Union Démocratique du Centre,UDC,,,,,,,,,,,Daepp,1988-02-29T00:00:00,1994-06-30T00:00:00,1988-02-29T00:00:00,1988-02-29T00:00:00,1994-06-30T00:00:00,2015-05-17T21:18:19.387,,Oppligen (BE),1938-08-20T00:00:00,
