,ID,Language,PersonNumber,PersonIdCode,Title,TitleText,LastName,GenderAsString,DateOfBirth,DateOfDeath,MaritalStatus,MaritalStatusText,PlaceOfBirthCity,PlaceOfBirthCanton,Modified,FirstName,OfficialName,MilitaryRank,MilitaryRankText,NativeLanguage,NumberOfChildren
38,42,FR,42,2033,24,Dr. sc. éc.,Cavadini,m,1942-06-27T00:00:00,,,,Sorengo,Tessin,2018-10-05T13:40:23.99,Adriano,Cavadini Adriano,,,I,
39,43,FR,43,2205,,,Cavelty,m,1935-04-01T00:00:00,,,,,,2015-05-17T21:18:19.387,Luregn Mathias,Cavelty,,,D,
40,44,FR,44,2280,,,Chevallaz,m,1946-05-12T00:00:00,,,,,,2015-05-17T21:18:19.387,Olivier,Chevallaz Olivier,,,F,
41,45,FR,45,2035,,,Cincera,m,1928-05-14T00:00:00,2004-10-30T00:00:00,,,,,2015-05-17T21:18:19.387,Ernst,Cincera,,,D,
42,46,FR,46,2036,23,Dr. oec. HSG,Columberg,m,1941-10-07T00:00:00,,,,Ilanz,Grisons,2018-10-05T15:49:48.7,Dumeni,Columberg,,,D,
43,47,FR,47,2281,24,Dr. sc. éc.,Comby,m,1939-02-20T00:00:00,,,,Saxon,Valais,2018-10-05T15:49:57.443,Bernard,Comby,1,Soldat,F,
44,48,FR,48,2037,,,Cotti,m,1929-11-03T00:00:00,2020-03-31T00:00:00,,,,,2020-04-02T12:47:15.863,Gianfranco,Cotti Gianfranco,,,I,
45,49,FR,49,2206,3,lic. en droit,Cottier,m,1943-12-04T00:00:00,2006-11-03T00:00:00,,,Bellegarde,Fribourg,2018-10-05T15:50:38.827,Anton,Cottier Anton,11,Capitaine,F,
46,50,FR,50,2038,25,Avocat et notaire,Couchepin,m,1942-04-05T00:00:00,,,,Martigny,Valais,2018-10-05T15:50:47.18,Pascal,Couchepin Pascal,11,Capitaine,F,
47,51,FR,51,2039,,,Coutau,m,1936-03-11T00:00:00,,,,,,2015-05-17T21:18:19.387,Gilbert,Coutau,,,F,
48,52,FR,52,2247,,,Daepp-Heiniger,f,1938-08-20T00:00:00,,,,,,2015-05-17T21:18:19.387,Susanna,Daepp,,,,
49,53,FR,53,2207,115,lic. iur.,Danioth,m,1931-05-25T00:00:00,2020-08-22T00:00:00,,,Andermatt,Uri,2020-08-26T13:48:36.85,Hans,Danioth Hans,,,D,
50,54,FR,54,2040,,,Danuser,f,1951-07-31T00:00:00,2011-09-03T00:00:00,,,,,2015-05-17T21:18:19.387,Menga,Danuser,,,D,
51,55,FR,55,2041,,,Darbellay,m,1929-05-19T00:00:00,2019-11-29T00:00:00,,,,,2019-12-03T16:17:17.657,Vital,Darbellay,,,F,
52,56,FR,56,2282,3,lic. en droit,de Dardel,m,1943-11-04T00:00:00,,,,Neuchâtel,Neuchâtel,2018-10-05T15:54:19.067,Jean-Nils,de Dardel Jean-Nils,,,F,
53,57,FR,57,2042,6,Dr. iur.,David,m,1945-09-03T00:00:00,,,,St. Gall,St-Gall,2018-10-05T15:51:43.807,Eugen,David,10,Premier-lieutenant,D,
54,58,FR,58,2283,27,Professeur,Deiss,m,1946-01-18T00:00:00,,,,Fribourg,Fribourg,2018-10-05T15:55:14.5,Joseph,Deiss,,,F,
55,59,FR,59,2208,,,Delalay,m,1936-11-06T00:00:00,,,,St-Léonard,Valais,2018-10-05T15:55:23.587,Edouard,Delalay,,,F,
56,60,FR,60,2284,28,lic. rer. publ.,Dettling,m,1943-06-05T00:00:00,,,,Schwyz,Schwyz,2018-10-05T15:56:00.073,Toni,Dettling,,,D,
57,61,FR,61,2044,,,Diener Lenz,f,1949-03-27T00:00:00,,,,Zurich,Zurich,2018-10-05T15:56:19.383,Verena,Diener Lenz,,,D,
58,63,FR,63,2046,85,Amtsrichterin,Dormann,f,1947-03-27T00:00:00,,,,Lucerne,Lucerne,2018-10-05T15:56:49.8,Rosmarie,Dormann Rosmarie,,,D,
59,64,FR,64,2047,6,Dr. iur.,Dreher,m,1944-01-08T00:00:00,,,,Schaffhouse,Schaffhouse,2018-10-05T15:57:07.203,Michael E.,Dreher,11,Capitaine,D,
60,65,FR,65,2210,,,Ducret,m,1943-02-25T00:00:00,,,,,,2015-05-17T21:18:19.387,Dominique,Ducret Dominique,,,F,
61,66,FR,66,2049,,,Dünki,m,1932-06-05T00:00:00,2011-10-27T00:00:00,,,Winterthur,Zurich,2018-10-05T15:58:17.697,Max,Dünki,2,Appointé,D,
62,67,FR,67,2285,,,Duvoisin,m,1938-09-12T00:00:00,,,,,,2015-05-17T21:18:19.387,Pierre,Duvoisin,,,F,
63,69,FR,69,2258,,,Eggenberger,m,1928-09-22T00:00:00,2010-12-01T00:00:00,,,,,2015-05-17T21:18:19.387,Georges,Eggenberger Georges,,,D,
64,70,FR,70,2051,3,lic. en droit,Eggly,m,1942-09-04T00:00:00,,,,Genève 8,Genève,2018-10-05T15:59:53.673,Jacques-Simon,Eggly,,,F,
65,71,FR,71,2053,115,lic. iur.,Engler,m,1951-08-03T00:00:00,,,,Appenzell,Appenzell Rh.-Int.,2018-10-05T16:00:40.42,Rolf,Engler,,,D,
66,72,FR,72,2286,3,lic. en droit,Epiney,m,1950-02-12T00:00:00,,,,Sierre,Valais,2018-10-05T16:00:47.443,Simon,Epiney,1,Soldat,F,
67,73,FR,73,2055,,,Etique,m,1945-02-12T00:00:00,1993-11-20T00:00:00,,,,,2015-05-17T21:18:19.387,Pierre,Etique,,,F,
68,74,FR,74,2287,6,Dr. iur.,Eymann,m,1951-01-15T00:00:00,,,,Bâle,Bâle-Ville,2020-02-14T14:39:31.883,Christoph,Eymann,11,Capitaine,D,
69,75,FR,75,2058,,,Fankhauser,f,1936-07-25T00:00:00,,,,La Rippe,Vaud,2018-10-05T16:02:56.82,Angeline,Fankhauser,,,D,
70,76,FR,76,2288,50,lic. rer. pol.,Fasel,m,1955-10-04T00:00:00,,,,Alterswil,Fribourg,2018-10-05T16:03:06.79,Hugo,Fasel,1,Soldat,D,
71,77,FR,77,2289,,,Fehr,f,1938-04-14T00:00:00,,,,Winterthur,Zurich,2018-10-05T16:04:28.757,Lisbeth,Fehr Lisbeth,,,D,
72,78,FR,78,2290,115,lic. iur.,von Felten,f,1944-12-30T00:00:00,,,,Bâle,Bâle-Ville,2018-10-09T16:37:02.167,Margrith,von Felten,,,D,
73,79,FR,79,2064,214,-,Fischer,m,1937-12-25T00:00:00,,,,Hägglingen,Argovie,2018-10-05T16:05:00.837,Theo,Fischer-Hägglingen,,,D,
74,80,FR,80,2063,,,Fischer,m,1930-02-15T00:00:00,,,,Triengen,Lucerne,2015-05-17T21:18:19.387,Theo,Fischer-Sursee,,,D,
75,81,FR,81,2065,115,lic. iur.,Fischer,m,1940-02-02T00:00:00,,,,Berne,Berne,2018-10-05T16:05:09.043,Ulrich,Fischer Ulrich,10,Premier-lieutenant,D,
76,82,FR,82,2211,,,Flückiger,m,1940-02-04T00:00:00,,,,,,2015-05-17T21:18:19.387,Michel,Flückiger Michel,,,F,
77,83,FR,83,2066,122,lic. ès sc. écon.,Frey,m,1943-07-16T00:00:00,,,,La Chaux-de-Fonds,Neuchâtel,2015-05-17T21:18:19.387,Claude,Frey Claude,,,F,
78,84,FR,84,2067,,,Frey,m,1943-07-30T00:00:00,,,,Zurich,Zurich,2018-10-05T16:06:33.327,Walter,Frey Walter,11,Capitaine,D,
79,85,FR,85,2338,115,lic. iur.,Frick,m,1953-05-31T00:00:00,,,,Wittenbach,St-Gall,2015-05-17T21:18:19.387,Bruno,Frick,14,Colonel,D,
80,86,FR,86,2291,38,Dr. phil. I,Fritschi,m,1939-02-25T00:00:00,2016-01-08T00:00:00,,,Winterthur,Zurich,2018-10-05T16:07:08.017,Oscar,Fritschi Oscar,14,Colonel,D,
81,87,FR,87,2069,,,Früh,m,1936-04-23T00:00:00,,,,,,2015-05-17T21:18:19.387,Hans-Rudolf,Früh,,,D,
82,88,FR,88,2212,,,Gadient,m,1931-07-24T00:00:00,2016-10-02T00:00:00,,,,,2016-10-10T09:42:23.773,Ulrich,Gadient Ulrich,,,D,
83,89,FR,89,2253,,,Gardiol,f,1937-09-25T00:00:00,,,,,,2015-05-17T21:18:19.387,Irène,Gardiol,,,F,
84,90,FR,90,2339,115,lic. iur.,Gemperli,m,1930-01-05T00:00:00,2015-02-23T00:00:00,,,Herisau,Appenzell Rh.-Ext.,2015-05-17T21:18:19.387,Paul,Gemperli Paul,14,Colonel,D,
85,91,FR,91,2292,,,Giezendanner,m,1953-10-31T00:00:00,,,,Rothrist,Argovie,2019-10-15T09:55:01.553,Ulrich,Giezendanner,1,Soldat,D,
86,92,FR,92,2070,,,Giger,m,1932-02-04T00:00:00,2021-01-05T00:00:00,,,,,2021-01-07T15:44:48.607,Titus,Giger,,,D,
87,93,FR,93,2293,,,Gobet,m,1943-10-12T00:00:00,,,,,,2015-05-17T21:18:19.387,Alexis,Gobet,,,F,
88,94,FR,94,2294,214,-,Goll,f,1956-12-10T00:00:00,,,,Zurich,Zurich,2018-10-05T16:10:12.193,Christine,Goll,,,D,
89,95,FR,95,2295,39,Dr. med.,Gonseth,f,1943-05-31T00:00:00,,,,Muri,Argovie,2018-10-05T16:10:18.453,Ruth,Gonseth,,,D,
90,96,FR,96,2073,,,Grendelmeier,f,1939-02-16T00:00:00,2018-03-27T00:00:00,,,Zurich,Zurich,2018-04-13T15:20:40.49,Verena,Grendelmeier Verena,,,D,
91,97,FR,97,2296,134,lic. ès sc. pol.,Gross,m,1952-08-21T00:00:00,,,,Kobe,,2018-10-05T16:11:18.913,Andreas,Gross Andreas,1,Soldat,D,
92,98,FR,98,2266,,,Grossenbacher-Schmid,f,1936-09-13T00:00:00,,,,Kapstadt,,2018-10-05T16:11:33.85,Ruth,Grossenbacher,,,D,
93,99,FR,99,2075,,,Guinand,m,1943-02-21T00:00:00,,,,,,2015-05-17T21:18:19.387,Jean,Guinand Jean,,,F,
94,100,FR,100,2077,214,-,Gysin,m,1940-12-29T00:00:00,,,,Bâle,Bâle-Ville,2018-10-05T16:12:35.157,Hans Rudolf,Gysin,,,D,
95,101,FR,101,2254,48,Dr. sc. nat.,Haering,f,1953-09-20T00:00:00,,,,Montréal,,2018-10-05T16:12:57.117,Barbara,Haering,,,D,
96,102,FR,102,2078,,,Hafner,m,1951-12-27T00:00:00,,,,,,2015-05-17T21:18:19.387,Rudolf,Hafner Rudolf,,,,
97,103,FR,103,2079,38,Dr. phil. I,Hafner,f,1943-06-10T00:00:00,,,,Merishausen,Schaffhouse,2018-10-05T16:13:04.323,Ursula,Hafner Ursula,,,D,
98,104,FR,104,2080,,,Haller,f,1947-10-01T00:00:00,,,,,,2015-05-17T21:18:19.387,Gret,Haller Gret,,,D,
99,105,FR,105,2298,6,Dr. iur.,Hämmerle,m,1946-11-09T00:00:00,,,,Pratval,Grisons,2018-10-05T16:13:29.567,Andrea,Hämmerle,,,D,
100,106,FR,106,2082,,,Hari,m,1928-02-18T00:00:00,,,,,,2015-05-17T21:18:19.387,Fritz,Hari,,,D,
101,107,FR,107,2267,115,lic. iur.,Heberlein,f,1942-07-17T00:00:00,,,,St. Gall,St-Gall,2018-10-05T16:14:48.557,Trix,Heberlein,,,D,
102,108,FR,108,2299,,,Hegetschweiler,m,1937-12-03T00:00:00,,,,Ottenbach,Zurich,2018-10-05T16:15:01.29,Rolf,Hegetschweiler,1,Soldat,D,
103,109,FR,109,2083,43,dipl. Arch. ETH,Herczog,m,1947-02-11T00:00:00,2021-09-12T00:00:00,,,Budapest,,2021-09-20T14:20:06.633,Andreas,Herczog,,,Hu,
104,110,FR,110,2084,,,Hess,m,1935-03-18T00:00:00,2014-02-17T00:00:00,,,Roggwil,Thurgovie,2018-10-05T16:15:48.483,Otto,Hess Otto,,,D,
105,111,FR,111,2085,6,Dr. iur.,Hess,m,1948-05-14T00:00:00,,,,Unterägeri,Zoug,2018-10-05T16:15:55.4,Peter,Hess Peter,12,Major,D,
106,112,FR,112,2086,,,Hildbrand,m,1942-02-02T00:00:00,2022-07-07T00:00:00,,,,,2022-07-28T16:26:08.707,Franz-Joseph,Hildbrand,,,D,
107,113,FR,113,2300,,,Hollenstein,f,1950-09-13T00:00:00,,,,Mosnang,St-Gall,2018-10-05T16:17:00.773,Pia,Hollenstein,,,D,
108,114,FR,114,2089,,,Hubacher,m,1926-04-15T00:00:00,2020-08-19T00:00:00,,,Krauchthal,Berne,2020-08-25T08:18:52.813,Helmut,Hubacher,,,D,
109,115,FR,115,2216,,,Huber,m,1932-06-06T00:00:00,2008-01-07T00:00:00,,,,,2015-05-17T21:18:19.387,Hans Jörg,Huber Hans Jörg,,,,
110,116,FR,116,2218,,,Iten,m,1936-02-27T00:00:00,,,,Unterägeri,Zoug,2018-10-05T16:19:05.32,Andreas,Iten Andreas,1,Soldat,D,
111,117,FR,117,2092,,,Jaeger,m,1941-12-04T00:00:00,,,,,,2019-11-26T13:31:17.56,Franz,Jaeger Franz,,,,
112,118,FR,118,2301,,,Jäggi,m,1936-08-03T00:00:00,2016-02-28T00:00:00,,,,,2016-03-03T18:36:24.753,Paul,Jäggi Paul,,,,
113,119,FR,119,2220,,,Jagmetti,m,1929-06-18T00:00:00,,,,,,2015-05-17T21:18:19.387,Riccardo,Jagmetti,,,D,
114,120,FR,120,2094,3,lic. en droit,Jeanprêtre,f,1946-07-06T00:00:00,,,,Neuchâtel,Neuchâtel,2018-10-05T16:19:51.763,Francine,Jeanprêtre,,,F,
115,121,FR,121,2302,,,Jenni,m,1957-09-26T00:00:00,,,,,,2015-05-17T21:18:19.387,Peter,Jenni,,,D,
116,122,FR,122,2303,47,Dr. med. dent.,Jöri,m,1949-05-12T00:00:00,,,,Nebikon,Lucerne,2018-10-05T16:20:36.64,Werner,Jöri,,,D,
117,123,FR,123,2096,,,Keller,m,1934-11-21T00:00:00,,,,,,2015-05-17T21:18:19.387,Anton,Keller Anton,,,D,
118,124,FR,124,2304,89,Eidg. dipl. Kaufmann,Keller,m,1956-04-17T00:00:00,,,,Frenkendorf,Bâle-Campagne,2018-10-05T16:21:52.027,Rudolf,Keller Rudolf,,,D,
119,125,FR,125,2305,,,Kern,m,1933-03-13T00:00:00,2015-06-02T00:00:00,,,,,2015-06-08T08:31:06.593,Armin,Kern Armin,,,D,
120,126,FR,126,2222,6,Dr. iur.,Küchler,m,1941-03-03T00:00:00,,,,Alpnach,Obwald,2018-10-05T16:23:29.907,Niklaus,Küchler,4,Sergent,D,
121,127,FR,127,2098,,,Kühne,m,1938-10-04T00:00:00,,,,Rapperswil,St-Gall,2018-10-05T16:23:44.283,Josef,Kühne,,,D,
122,128,FR,128,2223,,,Kündig,m,1931-10-12T00:00:00,2011-11-13T00:00:00,,,,,2015-05-17T21:18:19.387,Markus,Kündig Markus,,,D,
123,129,FR,129,2100,23,Dr. oec. HSG,Ledergerber,m,1944-04-04T00:00:00,,,,Engelberg,Obwald,2018-10-09T15:17:00.577,Elmar,Ledergerber,10,Premier-lieutenant,D,
124,130,FR,130,2263,48,Dr. sc. nat.,Leemann,f,1936-10-07T00:00:00,2013-06-13T00:00:00,,,Winterthur,Zurich,2018-10-09T14:26:52.21,Ursula,Leemann,,,D,
125,131,FR,131,2306,49,ing. agr. HTL,Leu,m,1950-09-04T00:00:00,,,,Hohenrain,Lucerne,2018-10-09T15:17:22.093,Josef,Leu Josef,12,Major,D,
126,132,FR,132,2101,6,Dr. iur.,Leuba,m,1934-07-16T00:00:00,2004-10-22T00:00:00,,,Lausanne,Vaud,2018-10-09T14:27:08.153,Jean-François,Leuba Jean-François,12,Major,F,
127,133,FR,133,2102,50,lic. rer. pol.,Leuenberger,m,1945-01-18T00:00:00,2009-06-30T00:00:00,,,Kräiligen,Berne,2018-10-09T14:27:15.547,Ernst,Leuenberger-Solothurn,,,D,
128,134,FR,134,2103,,,Leuenberger,m,1946-09-21T00:00:00,,,,Bienne,Berne,2018-10-09T15:17:29.44,Moritz,Leuenberger Moritz,,,D,
129,135,FR,135,2104,51,lic. oec.,Loeb,m,1940-12-09T00:00:00,,,,Berne,Berne,2018-10-09T15:18:18.857,François,Loeb,5,Fourrier,D,
130,136,FR,136,2106,6,Dr. iur.,Loretan,m,1934-06-15T00:00:00,,,,Bâle,Bâle-Ville,2018-10-09T15:19:03.573,Willy,Loretan Willy,14,Colonel,D,
131,137,FR,137,2108,,,Maeder,m,1930-02-03T00:00:00,2017-01-23T00:00:00,,,,,2017-01-30T10:42:29.347,Herbert,Maeder,,,D,
132,138,FR,138,2109,117,lic. en droit,Maitre,m,1949-06-18T00:00:00,2006-02-01T00:00:00,,,Genève 8,Genève,2018-10-09T14:28:19.143,Jean-Philippe,Maitre Jean-Philippe,,,F,
133,139,FR,139,2307,,,Mamie,m,1944-02-27T00:00:00,,,,,,2015-05-17T21:18:19.387,Philippe,Mamie,,,F,
134,140,FR,140,2308,115,lic. iur.,Marti,m,1957-04-20T00:00:00,,2,marié(e),Glaris,Glaris,2015-05-17T21:18:19.387,Werner,Marti Werner,12,Major,D,3
135,141,FR,141,2110,70,Ing. forestier,Martin,m,1933-05-11T00:00:00,2005-12-02T00:00:00,,,Chapelle-sur-Moudon,Vaud,2018-10-09T14:28:44.357,Jacques,Martin Jacques,14,Colonel,F,
136,142,FR,142,2309,,,Maspoli,m,1950-01-29T00:00:00,2007-06-12T00:00:00,,,Sorengo,Tessin,2018-10-09T14:28:54.05,Flavio,Maspoli Flavio,,,I,
137,143,FR,143,2113,,,Matthey,m,1942-06-17T00:00:00,,,,,,2015-05-17T21:18:19.387,Francis,Matthey Francis,,,F,
138,144,FR,144,2114,,,Mauch,m,1934-05-22T00:00:00,1995-08-02T00:00:00,,,,,2015-05-17T21:18:19.387,Rolf,Mauch Rolf,,,,
139,145,FR,145,2115,,,Mauch,f,1935-03-29T00:00:00,,,,,,2015-05-17T21:18:19.387,Ursula,Mauch Ursula,,,,
140,146,FR,146,2310,214,-,Maurer,m,1950-12-01T00:00:00,,2,marié(e),Wetzikon (ZH),Zurich,2015-05-17T21:18:19.387,Ueli,Maurer Ueli,12,Major,D,6
141,147,FR,147,2117,97,lic. phil. II,Meier,m,1933-05-19T00:00:00,,,,Uetikon am See,Zurich,2018-10-09T15:23:07.557,Hans,Meier Hans,11,Capitaine,D,
142,148,FR,148,2227,,,Meier,f,1926-08-31T00:00:00,2006-11-05T00:00:00,,,,,2015-05-17T21:18:19.387,Josi J.,Meier Josi,,,,
143,149,FR,149,2265,,,Meier,m,1948-06-02T00:00:00,1999-01-02T00:00:00,,,Beinwil am See,Argovie,2018-10-09T14:29:28.527,Samuel,Meier Samuel,,,D,
144,150,FR,150,2261,43,dipl. Arch. ETH,Meyer,m,1937-01-24T00:00:00,,,,Muttenz,Bâle-Campagne,2018-10-09T15:24:15.04,Theo,Meyer Theo,3,Caporal,D,
145,151,FR,151,2311,,,Miesch,m,1948-02-27T00:00:00,,2,marié(e),Titterten,Bâle-Campagne,2015-05-17T21:18:19.387,Christian,Miesch,11,Capitaine,D,2
146,152,FR,152,2312,,,Misteli,f,1945-08-01T00:00:00,,,,,,2015-05-17T21:18:19.387,Marguerite,Misteli,,,,
147,153,FR,153,2340,,,Morniroli,m,1936-01-20T00:00:00,2017-07-20T00:00:00,,,,,2018-08-21T10:59:29.117,Giorgio,Morniroli,,,I,
148,154,FR,154,2313,,,Moser,m,1941-12-18T00:00:00,,,,,,2015-05-17T21:18:19.387,René,Moser René,,,D,
149,155,FR,155,2123,,,Müller,m,1929-04-22T00:00:00,2002-04-21T00:00:00,,,,,2015-05-17T21:18:19.387,Reinhard,Müller Reinhard,,,D,
150,156,FR,156,2124,6,Dr. iur.,Nabholz,f,1944-12-31T00:00:00,,,,Soleure,Soleure,2018-10-09T15:27:19.05,Lili,Nabholz,,,D,
151,157,FR,157,2314,,,Narbel,m,1939-01-14T00:00:00,,,,,,2015-05-17T21:18:19.387,Jean-Marc,Narbel,,,F,
152,158,FR,158,2125,10,dipl. Ing. Agr. ETH,Nebiker,m,1929-10-10T00:00:00,2008-03-03T00:00:00,,,Liestal,Bâle-Campagne,2018-10-09T14:32:56.593,Hans-Rudolf,Nebiker,10,Premier-lieutenant,D,
153,159,FR,159,2126,,,Neuenschwander,m,1929-09-21T00:00:00,2003-10-11T00:00:00,,,,,2015-05-17T21:18:19.387,Willi,Neuenschwander,,,,
154,160,FR,160,2130,,,Oehler,m,1942-03-02T00:00:00,,,,,,2015-05-17T21:18:19.387,Edgar,Oehler,,,,
155,161,FR,161,2229,38,Dr. phil. I,Onken,m,1941-05-06T00:00:00,2000-03-14T00:00:00,,,Kreuzlingen,Thurgovie,2018-10-09T14:33:41.547,Thomas,Onken,11,Capitaine,D,
156,162,FR,162,2135,,,Perey,m,1931-11-06T00:00:00,2007-04-17T00:00:00,,,,,2015-05-17T21:18:19.387,André,Perey,,,,
